operator,number_route,service,delay_above_min,on_time_percentage,cancellation_rate,can_book_before_month,external_booking,additional_language,english,cancel_condition,cancellation_possible,refund_cancell,refund_constraints,cancellaton_condition,modi_condition,modify_posible,conpendation _delay,english_compensation,conpensation_submit,deadline_compensation_delay,criteria_compensation_delay,catering_details,catering_offer,electricity_plug,Wifi,average_speed,age_reduction_price,details_age_reduction,subscription_reduction,handicaped_reduced,handicaped_details,family_reduction,night_train,night_routes,with_bike
Regiojet,7,All,5,89%,,3,Yes,English + 5 languages,Yes,EcoNomy standard: Tickets can be cancelled free of charge up to 15 minutes prior to departure.(website),Possible,100%,Both,Free up to 15 minutes before departure (EcoNomy standard),EcoNomy standard: Tickets can be cancelled free of charge up to 15 minutes prior to departure.,Possible,Yes (voucher),Yes,cash at counter,6 months,"Reimbursment conditions depend on the journey duration (1.5h, 3h,  5h  or above 5h). We choose the conditions for 3h trips for our evaluation:
""You get 25 if delay above 60 and 100 if delay above 120 Not caused by the carrier. You get 50 if delay 4590, 100 if above 90 is caused by the carrier. """,Yes meals . Source RegioJet,Yes,Yes,Yes,95.6383375,Yes,"Yes. All info here, for international service",Yes,Yes,"Yes, for holders of ZTP certificate. Info here",No,Yes,2,34%
Snalltaget,4,All,5,53%,12%,4,Yes,English but DK or DE where it operates,Yes,Possible until 24h expect from sleeppers and the booking fee will Not be reimbursed. ,Possible,100% minus fee,Both,Until 24h before (except sleepers),Possible until 24h expect from sleeppers and the booking fee will Not be reimbursed. ,Possible,No,Yes,website,2 months,"EU Minimum Requirements. Delay of 60–119 Minutes
Cash compensation of 25% of the ticket price.
Delay of 120 Minutes or More
Cash compensation of 50% of the ticket price.",Yes meal,Yes,Yes,Depends,108.63034,Yes,Yes. All info here,No,Yes,Yes. Section 1.3.2 from T&C (same as senior),Yes,Yes,4,42%
RENFE,10,Ave,5,87%,0%,2,Yes,English + French,Yes,"
 Cancellation between 30 and 15 days: 25% fee. Cancellation between 14 and 5 days: 50% fee
Cancellation between 4 and 1 day: 80% fee
Cancellation less than 24 hours before or No show on the day of departure: 100% fee",Possible,75%,Time,"3015 days: 25% fee, 145 days: 50% fee, 41 day: 80% fee, <24h: 100% fee","
Changes are allowed, without cost, communicated more than 120 days before the departure
Changes required between 120 and 31 days in advance: 15% fee
No changes are allowed on the date of the trip less than 30 days before the departure date.",Possible,No,Yes,website,3 months,"50% after 60min, and 100% after 90min. Source El Pais, confirmation by email from Renfe",Yes sandwishs and salads for all class (source),Yes,Yes,Yes,192.4795557,Yes,"Need to subscribe for senior, and youth. Also a free discount for youngs, but only 5% on Ave",Yes,Yes,"Paid card, but Not expensive. Info here ",Yes,No,0,0%
SBB,10,Long distance,3,90%,2%,6,Yes,English (and its 3 national languages) ,Yes,"Communication from SBB: 
National tickets which you purchased at the standard price while logged into the SBB Mobile app can be refunded or exchanged for free BEFORE the start of validity. ",Possible,100%,Both,Free before start of validity (national tickets via app),"Communication from SBB: 
National tickets which you purchased at the standard price while logged into the SBB Mobile app can be refunded or exchanged for free BEFORE the start of validity. ",Possible,No,Yes,website,"30 days, 90 days for international journeys","For a delay of 60 minutes or more, you will receive 25% of the ticket price in compensation.
For a delay of 120 minutes or more, you will receive 50% of the ticket price in compensation.",Yes meal,Yes,Yes,Yes,90.63741047,Yes,"Need to subscribe for senior, and youth",Yes,Yes,Paid card,Yes,Depends,1,76%
SNCB,10,All,6,88%,1%,1,Yes,English (+ three national languages),Yes,Possible only for tickets bought in the station,Possible,100%,Ticket,Only for tickets bought at station,Possible only for tickets bought in the station,Possible,No,Yes,website,3 months,"A 60 minute delay and above: flatrate compensation of 100% of the price of your travel ticket. For delays between 30 to 59min, a compensation is possible only if delays occurs regularly",No,No,Depends,No,76.333593,Yes,"For students need to subscrbe, but reduction directly apply for senior",Yes,Yes,"Free rides for person with visual deficiency, but Not for persons with reduced mobility",Yes,No,0,76%
SNCF,10,INoUI,5,77%,5%,4,Yes,"English, German, Dutch, Spanish, Italian ",Yes,Free before 7 days / 19€ afterwards. ,Possible,100% or minus fee,Time,"Free before 7 days, €19 fee afterwards",Free before 7 days / 19€ afterwards,Possible,No,Yes,website,60 days,"30min to 2h: 25%
2h to 3h: 50%
over 3h delay: 75% of the ticket price.",Yes meals ,Yes,Yes,Yes,216.6976973,Yes,Paid services. Info here,Yes,No,No. Information here,Yes,Yes,9,48%
Trenitalia,10,Medium/long distance,5,89%,,4,Yes,"English + French, German, Chinese ",Yes,"You can request a refund before the departure time of the booked train, but only with a  20% deduction to the original amount paid.",Possible,80%,Time,Before departure with 20% deduction,Yes No fee. Unlimited before departure of the train and one time until one hour after the departure of the train. ,Possible,No,Yes,website,1 year,"30 and 59 minutes: voucher of 25% of the ticket price to be used within 12 months. 
25% in ticket price for a delay above 60min, 50% above 120 min. ",Yes Freccia Bistro open to all with meals too. ,Yes,Yes,Yes,146.417392,Yes,Yes. All info here,Yes,Yes,Yes. Info here,Yes,Yes,15,50%
ZSSK,9,All,5,79%,1%,2,No,English ,Yes,Ticket purchased online or in the Ideme vlakom mobile application can be cancelled prior to scheduled departure of the train from boarding station with cancellation fee of 10 percent of the price ,Possible,90%,Time,Before departure with 10% fee,No information,Not Possible,No,Yes,No,2 months ,"EU minimum requirements. 
25% in ticket price for a delay above 60min, 50% above 120 min. ",Yes meals. Source,Yes,Depends,Yes,89.24399794,Yes,Yes. Info here,Yes,Yes,Yes. Info here,No,Yes,4,38%
BDZ,10,All,,,,2,No,English,Yes,Can be cancelled up to 3h before departure with a 10% fee.  (T&C webpage),Possible,90%,Time,Up to 3h before departure with 10% fee,Not possible (T&C webpage) ,Not Possible,No,Yes,claim,6 months,"a) 25% of the value of the ticket for delays from 60 to 119 minutes;
b) 50% of the value of the ticket for delays equivalent to or exceeding 120 minutes.",No for domestic journeys. Yes for international (Source: Jon Worth blog. No information available on BDZ website),Yes,Yes,Yes,60.98230088,Yes,"Cards for 0.50 cts, but for youth card it cost 15 €",Yes,Yes,card for 0.50 cts,Yes,Yes,9,18%
CD,10,Long distance,5,68%,2%,2,No,English,Yes,Can be returned or exchanged without a service charge No later than 15 minutes before the start of the validity of the document (T&C webpage),Possible,100%,Time,Free until 15 minutes before validity,Can be returned or exchanged without a service charge No later than 15 minutes before the start of the validity of the document (T&C webpage),Possible,Yes (voucher),Yes,contact form,3 months,"An indemnity in the amount of 25% of the price of the fare, provided the total price of one ticket for a oneway journey for one passenger is at least EUR 16 in international transport or CZK 360 in inland transport, in the form of a credit Note or, upon the passenger’s request, a bank transfer to the passenger’s account, for delays of 60 to 119 minutes;
an indemnity in the amount of 50% of the price of the fare, provided the total price of one ticket for a oneway journey for one passenger is at least EUR 8 in international transport or CZK 180 in inland transport, in the form of a credit Note or, upon the passenger’s request, a bank transfer to the passenger’s account, for delays of 120 minutes or longer;",Meals (website).,Yes,Yes,Yes,78.88487973,Yes,"children, youth, students and senior",Yes,Yes,Yes. Info here,No,Yes,4,58%
CFR,10,All,,85%,,1,No,English,Yes,Until the departure of the train with a fee of 10% (T&C webpage),Possible,90%,Time,Until departure with 10% fee,Possible on the app,Possible,No,Yes,contact form,3 days,Standard EU regulation,Sandwichs ,Yes,Yes,Yes,64.46582908,Yes,children students (under 30) senior,Yes,Yes,Yes: info here,No,Yes,21,16%
CP,10,Long distance,5,53%,2%,2,Yes,English,Yes,"If you don't use your ticket, you can get a full refund up to 15 minutes before the train leaves your departure station, either online in the ""Your tickets"" area on cp.pt or at any CP ticket office. (T&C webpage)",Possible,100%,Time,Full refund up to 15 minutes before departure,"Ticket exchanges can be made up to 15 minutes before departure from the station of origin of the ticket, free of charge. After this deadline, passengers canNot exchange their tickets (T&C webpage)",Possible,No,Yes,contact form,No deadline,"Without loss of right to transport and if the passenger does Not exercise the right to a refund when there is a delay of 60 minutes at the arrival, attributable to CP, the passenger has the right to a full refund.",Snacks or sandwiches,Yes,Yes,Yes,100.1253114,Yes,children youth senior,Yes,Yes,Yes: info here,Yes,No,0,44%
MAV,10,All,,,,2,No,English,Yes,Possible until 1h before the validity of the ticket begins (domestic). There is a 10% fee if 24h before departure. No fee if before 24h. ,Possible,90100%,Time,"Until 1h before validity, 10% fee if within 24h, free if before 24h",No exchange possible (Email),Not Possible,No,Yes,website,90 days,"Minimum EU requirements: ""25% at delays more than 60 minutes, 50% at delays more than 120 minutes""","Meals (info on newspaper, see also: https://www.mavcsoport.hu/sites/default/files/upload/traveloffer/document/public/r1eng.pdf)",Yes,No,Yes,72.23238801,Yes,"tickets are at 50% for student, free for senior",Yes,No,No special prices for persons with reduced mobility,Yes,Yes,10,68%
Hellenic trains,10,Intercity,5,65%,1%,1,No,English,Yes,"• In case of a cancellation request up to 48 hours before the scheduled departure time from the boarding station, 100% of the Nominal value of the initial ticket is refunded.
• In case of a cancellation request from 48 hours to 2 hours before the scheduled departure time from the boarding station, 80% of the Nominal value of the original ticket is refunded.
• In case of cancellation request less than 2 hours before the scheduled departure time from the boarding station, and until the issuing system  50% of the Nominal value of the original ticket is refunded",Possible,50100%,Time,"48h+: 100%, 48h2h: 80%, <2h: 50%",No as it needs to be cancelled first. ,Not Possible,No,Yes,website,3 months,"For a delay of 60 to 119 minutes, the compensation is at the 25% of the value of the submitted ticket.
For a delay of 120 minutes or more, the compensation is at the 50% of the  value of the submitted ticket.",Snacks/Sandwishes/Salads (website),Yes,No,No,77.69825961,Yes,Yes,Yes,Yes,"Yes, info here",Yes,No,0,30%
PKP,10,Intercity,6,73%,1%,1,Yes,English and Russian,Yes,"Yes, possible until 5min beforedeparture. But cancellation fee. 15% deduction are returned to the account from which the payment was made within 5 business days (email)",Possible,85%,Time,Until 5 minutes before departure with 15% deduction,"Yes 5 min before departure, wihtout a fee",Possible,No,Yes,email,3 months ,"The amount of compensation depends on the length of the delay and the ticket price:

    25% of the price in case of a delay of between 60 minutes and 119 minutes,
    50% of the price in case of a delay of more than 120 minutes.",Yes meals,Yes,Yes,Yes,96.1716481,Yes,Yes. Exemple here for senior,Yes,No,No. Info here,Yes,Yes,14,36%
SJ,9,Long distance,5,72%,4%,1,Yes,English ,Yes,You need to pay an extra to make your ticket refundable,Conditional,Varies,Ticket,Must pay extra to make ticket refundable,You need to pay an extra to make your ticket rebookable,Possible,No,Yes,email,2 years,"The following applies to travel on trains on routes of 150 km or more (have more specifics for under 150km and more advantagous)

    • In the event of a 60minute delay, we refund 25% of the ticket price.

    • In the event of a 120minute delay, we refund 50% of the ticket price.",Yes HS and IC and NT meal,Yes,Depends,Depends,121.9787257,Yes,Yes. Info here,Yes,Yes,"Answer from SJ: there is a state system allowing special fares for persons with reduced mobility ""Any passenger with disabilities and any accompanying assistant must hold a valid ticket issued on the same terms and conditions as apply to all other passengers. """,Yes,Yes,9,0%
VR,10,Long distance,5,86%,,3,Yes,English ,Yes,Need to pay an insurrance of 519€ for the ticket to be cancelable. This insurance is Not refunded in case of cancelation,Conditional,Varies,Ticket,Must buy €519 insurance for cancellation option,You can make changes to your longdistance traffic single tickets before the scheduled departure of the train. The change fee is 5 €/ticket.,Possible,No,Yes,website,12 months,"EU minimum requirements. 
25% in ticket price for a delay above 60min, 50% above 120 min. ",Restaurant car  VR,Yes,Yes,Yes,112.8474069,Yes,Yes. All info here,Yes,No,No,No,Yes,4,48%
